model,sampling,accuracy,precision,recall,f1_score,training_accuracy,validation_accuracy,gram
CatBoostC,Over-Sampling,0.2371638141809291,0.6181486862841096,0.2371638141809291,0.0989091665839693,0.6075329566854991,0.2371638141809291,Word_bigram
MLPC-sgd,Over-Sampling,0.7383863080684596,0.6230981692527701,0.7383863080684596,0.6440928476812778,0.664030131826742,0.7383863080684596,Word_bigram
ExtraTreesClassifier,Over-Sampling,0.7897310513447433,0.7858351199314055,0.7897310513447433,0.7393722747828305,0.9837503362927092,0.7897310513447433,Word_bigram
XGBoost,SMOTE,0.2400977995110024,0.8041397327259939,0.2400977995110024,0.0936437425576604,0.3900995426419154,0.2400977995110024,Word_bigram
CatBoostC,SMOTE,0.7506112469437652,0.7995415197371188,0.7506112469437652,0.6484315697478267,0.8844767285445251,0.7506112469437652,Word_bigram
MLPC-sgd,SMOTE,0.7452322738386308,0.6822035740789999,0.7452322738386308,0.6498933479503115,0.7736346516007533,0.7452322738386308,Word_bigram
ExtraTreesClassifier,SMOTE,0.7887530562347188,0.7842287144906595,0.7887530562347188,0.7387461571157363,0.9511433952111918,0.7887530562347188,Word_bigram
XGBoost,Under-Sampling,0.4102689486552567,0.6326681653246251,0.4102689486552567,0.4280388951475887,0.3695652173913044,0.4102689486552567,word_tri+char_tri
CatBoostC,Under-Sampling,0.5545232273838631,0.6947910642326474,0.5545232273838631,0.605369518144594,0.4879227053140096,0.5545232273838631,word_tri+char_tri
MLPC-sgd,Under-Sampling,0.5300733496332518,0.7261427094807171,0.5300733496332518,0.6065311265402523,0.4806763285024154,0.5300733496332518,word_tri+char_tri
ExtraTreesClassifier,Under-Sampling,0.5491442542787286,0.747378496008514,0.5491442542787286,0.6112365787596845,0.5386473429951691,0.5491442542787286,word_tri+char_tri
XGBoost,Over-Sampling,0.0220048899755501,0.8321424024011673,0.0220048899755501,0.0196209637802319,0.3527576002152273,0.0220048899755501,word_tri+char_tri
CatBoostC,Over-Sampling,0.7085574572127139,0.7643728054902549,0.7085574572127139,0.7307394895252735,0.749313962873285,0.7085574572127139,word_tri+char_tri
MLPC-sgd,Over-Sampling,0.8366748166259169,0.8320275601711585,0.8366748166259169,0.8340288412594014,0.9533494753833738,0.8366748166259169,word_tri+char_tri
ExtraTreesClassifier,Over-Sampling,0.789242053789731,0.8176749955061983,0.789242053789731,0.7284874608985384,0.9867635189669088,0.789242053789731,word_tri+char_tri
XGBoost,SMOTE,0.2366748166259168,0.0582408252137843,0.2366748166259168,0.0932624830209182,0.4792574656981436,0.2366748166259168,word_tri+char_tri
CatBoostC,SMOTE,0.7750611246943765,0.7501122442982812,0.7750611246943765,0.7504386915824807,0.8392789884315307,0.7750611246943765,word_tri+char_tri
MLPC-sgd,SMOTE,0.8366748166259169,0.830694918498291,0.8366748166259169,0.833306726716856,0.9483454398708636,0.8366748166259169,word_tri+char_tri
ExtraTreesClassifier,SMOTE,0.7867970660146699,0.8155873610708242,0.7867970660146699,0.7238500112549312,0.9601291364003228,0.7867970660146699,word_tri+char_tri
XGBoost,Under-Sampling,0.0136919315403422,0.0001874689893054,0.0136919315403422,0.0003698736933232,0.3285024154589371,0.0136919315403422,word_uni+word_bi+char_bi+char_tri
CatBoostC,Under-Sampling,0.4977995110024449,0.69280455043867,0.4977995110024449,0.5567203737246547,0.4371980676328502,0.4977995110024449,word_uni+word_bi+char_bi+char_tri
MLPC-sgd,Under-Sampling,0.4963325183374083,0.6773985151234119,0.4963325183374083,0.5658100095215349,0.4830917874396135,0.4963325183374083,word_uni+word_bi+char_bi+char_tri
ExtraTreesClassifier,Under-Sampling,0.6019559902200489,0.7526797826663255,0.6019559902200489,0.6533982546175323,0.5603864734299517,0.6019559902200489,word_uni+word_bi+char_bi+char_tri
XGBoost,Over-Sampling,0.0738386308068459,0.5590891862039353,0.0738386308068459,0.1104680008518282,0.3559860102232983,0.0738386308068459,word_uni+word_bi+char_bi+char_tri
CatBoostC,Over-Sampling,0.7012224938875306,0.7619246811117365,0.7012224938875306,0.7249652562645343,0.7583535108958838,0.7012224938875306,word_uni+word_bi+char_bi+char_tri
MLPC-sgd,Over-Sampling,0.8420537897310514,0.837977812944816,0.8420537897310514,0.8398772181999302,0.9549098735539412,0.8420537897310514,word_uni+word_bi+char_bi+char_tri
ExtraTreesClassifier,Over-Sampling,0.7833740831295843,0.8107393367212573,0.7833740831295843,0.7177808334228963,0.9866020984665052,0.7833740831295843,word_uni+word_bi+char_bi+char_tri
XGBoost,SMOTE,0.2009779951100244,0.5930430834219854,0.2009779951100244,0.2399768095458713,0.3421038471885929,0.2009779951100244,word_uni+word_bi+char_bi+char_tri
CatBoostC,SMOTE,0.78239608801956,0.7639352682392094,0.78239608801956,0.7613290224414989,0.8441216034436373,0.78239608801956,word_uni+word_bi+char_bi+char_tri
MLPC-sgd,SMOTE,0.8469437652811735,0.8437840595842998,0.8469437652811735,0.8452462622973984,0.9498520312079636,0.8469437652811735,word_uni+word_bi+char_bi+char_tri
ExtraTreesClassifier,SMOTE,0.7907090464547677,0.8066973414488265,0.7907090464547677,0.733048315750241,0.9628732849071832,0.7907090464547677,word_uni+word_bi+char_bi+char_tri
XGBoost,Under-Sampling,0.2396088019559902,0.6010213048009339,0.2396088019559902,0.1006634212143832,0.357487922705314,0.2396088019559902,word_uni+word_bi+char_tri
CatBoostC,Under-Sampling,0.5246943765281173,0.697460324720474,0.5246943765281173,0.5850971267318494,0.4613526570048309,0.5246943765281173,word_uni+word_bi+char_tri
MLPC-sgd,Under-Sampling,0.4924205378973105,0.6964274470421332,0.4924205378973105,0.5582339864481477,0.5048309178743962,0.4924205378973105,word_uni+word_bi+char_tri
ExtraTreesClassifier,Under-Sampling,0.5691931540342299,0.756086457759344,0.5691931540342299,0.6261420613838502,0.5434782608695653,0.5691931540342299,word_uni+word_bi+char_tri
XGBoost,Over-Sampling,0.2444987775061124,0.5457468467360217,0.2444987775061124,0.1088584016700886,0.3620661824051654,0.2444987775061124,word_uni+word_bi+char_tri
CatBoostC,Over-Sampling,0.7178484107579463,0.7683158388263848,0.7178484107579463,0.7378813887877547,0.7563626580575734,0.7178484107579463,word_uni+word_bi+char_tri
MLPC-sgd,Over-Sampling,0.8381418092909535,0.8389920793674207,0.8381418092909535,0.8384964609802923,0.9513586225450632,0.8381418092909535,word_uni+word_bi+char_tri
ExtraTreesClassifier,Over-Sampling,0.7882640586797066,0.8143835519307563,0.7882640586797066,0.7261293406259197,0.986279257465698,0.7882640586797066,word_uni+word_bi+char_tri
XGBoost,SMOTE,0.3579462102689486,0.6624535910948148,0.3579462102689486,0.361458297753706,0.3792843691148775,0.3579462102689486,word_uni+word_bi+char_tri
CatBoostC,SMOTE,0.7877750611246944,0.7735558230366292,0.7877750611246944,0.7649803870163941,0.8362658057573312,0.7877750611246944,word_uni+word_bi+char_tri
MLPC-sgd,SMOTE,0.8381418092909535,0.8394583973927293,0.8381418092909535,0.8387471869942711,0.9442561205273068,0.8381418092909535,word_uni+word_bi+char_tri
ExtraTreesClassifier,SMOTE,0.7951100244498778,0.8159438172725928,0.7951100244498778,0.739746258991426,0.9653483992467043,0.7951100244498778,word_uni+word_bi+char_tri
XGBoost,Under-Sampling,0.5095354523227383,0.6575901117758006,0.5095354523227383,0.5646169098292118,0.3695652173913044,0.5095354523227383,Word_Unigram
CatBoostC,Under-Sampling,0.6440097799511002,0.7080178858853468,0.6440097799511002,0.6674804861339697,0.4782608695652173,0.6440097799511002,Word_Unigram
MLPC-sgd,Under-Sampling,0.7466992665036675,0.557559794597115,0.7466992665036675,0.6384153303197649,0.3333333333333333,0.7466992665036675,Word_Unigram
ExtraTreesClassifier,Under-Sampling,0.6332518337408313,0.7261700861211683,0.6332518337408313,0.6652686178056041,0.4782608695652173,0.6332518337408313,Word_Unigram
XGBoost,Over-Sampling,0.6381418092909535,0.7184951030066614,0.6381418092909535,0.6588627681405055,0.4382566585956416,0.6381418092909535,Word_Unigram
CatBoostC,Over-Sampling,0.6581907090464547,0.727098286516982,0.6581907090464547,0.6823021112184453,0.6886736615550175,0.6581907090464547,Word_Unigram
MLPC-sgd,Over-Sampling,0.8019559902200489,0.7874559613439057,0.8019559902200489,0.7918328320509477,0.9390368576809256,0.8019559902200489,Word_Unigram
ExtraTreesClassifier,Over-Sampling,0.8273838630806846,0.8211581691741373,0.8273838630806846,0.7955818168049512,0.9839117567931128,0.8273838630806846,Word_Unigram
XGBoost,SMOTE,0.6205378973105135,0.6508394808079272,0.6205378973105135,0.6090517132553599,0.455044390637611,0.6205378973105135,Word_Unigram
CatBoostC,SMOTE,0.7403422982885085,0.7170896335321763,0.7403422982885085,0.7249969379249598,0.8239978477266613,0.7403422982885085,Word_Unigram
MLPC-sgd,SMOTE,0.8058679706601467,0.791429485059973,0.8058679706601467,0.7953933164260065,0.933871401668012,0.8058679706601467,Word_Unigram
ExtraTreesClassifier,SMOTE,0.8273838630806846,0.8228334102571414,0.8273838630806846,0.7993982645123894,0.9652407855797686,0.8273838630806846,Word_Unigram
