model,sampling,accuracy,precision,recall,f1_score
ANN,Over-Sampling,0.832762836185819,0.8186743948202009,0.832762836185819,0.8231977430108036
ANN,Under-Sampling,0.5907090464547677,0.7507850816350707,0.5907090464547677,0.6466610992483158
ANN,SMOTE,0.8381418092909535,0.8322197506959407,0.8381418092909535,0.8349416830398603
