model,sampling,accuracy,precision,recall,f1_score
ANN,Over-Sampling,0.8498777506112469,0.8364604652937419,0.8498777506112469,0.8380935742089052
ANN,Under-Sampling,0.3374083129584352,0.8326359177583689,0.3374083129584352,0.4678840404129424
ANN,SMOTE,0.8400977995110025,0.8262894650220034,0.8400977995110025,0.8303120423372095
